date,cruise,haul,vessel,year,stationid,start_latitude,start_longitude,end_latitude,end_longitude
7/20/2021,202101,183,162,2021,P-31,60.00034,-177.23564,60.01857,-177.20209
7/20/2021,202101,183,162,2021,P-31,60.00034,-177.23564,60.01857,-177.20209
7/21/2021,202101,187,162,2021,S-31,60.99712,-177.66384,60.99637,-177.61355
7/21/2021,202101,187,162,2021,S-31,60.99712,-177.66384,60.99637,-177.61355
7/22/2021,202101,191,162,2021,T-29,61.32219,-176.31273,61.34756,-176.30903
7/22/2021,202101,191,162,2021,T-29,61.32219,-176.31273,61.34756,-176.30903
7/22/2021,202101,193,162,2021,U-28,61.66501,-175.8452,61.68478,-175.81192
7/22/2021,202101,193,162,2021,U-28,61.66501,-175.8452,61.68478,-175.81192
7/23/2021,202102,2,162,NA,NA,NA,NA,NA,NA
7/23/2021,202102,2,162,NA,NA,NA,NA,NA,NA
7/24/2021,202102,7,162,NA,NA,NA,NA,NA,NA
7/24/2021,202102,7,162,NA,NA,NA,NA,NA,NA
7/24/2021,202102,9,162,NA,NA,NA,NA,NA,NA
7/24/2021,202102,9,162,NA,NA,NA,NA,NA,NA
7/25/2021,202102,13,162,NA,NA,NA,NA,NA,NA
7/25/2021,202102,13,162,NA,NA,NA,NA,NA,NA
7/26/2021,202102,16,162,NA,NA,NA,NA,NA,NA
7/26/2021,202102,16,162,NA,NA,NA,NA,NA,NA
7/26/2021,202102,19,162,NA,NA,NA,NA,NA,NA
7/26/2021,202102,19,162,NA,NA,NA,NA,NA,NA
7/26/2021,202102,20,162,NA,NA,NA,NA,NA,NA
7/26/2021,202102,20,162,NA,NA,NA,NA,NA,NA
7/27/2021,202102,22,162,NA,NA,NA,NA,NA,NA
7/27/2021,202102,22,162,NA,NA,NA,NA,NA,NA
7/27/2021,202102,23,162,NA,NA,NA,NA,NA,NA
7/27/2021,202102,23,162,NA,NA,NA,NA,NA,NA
7/28/2021,202102,26,162,NA,NA,NA,NA,NA,NA
7/28/2021,202102,26,162,NA,NA,NA,NA,NA,NA
7/28/2021,202102,27,162,NA,NA,NA,NA,NA,NA
7/28/2021,202102,27,162,NA,NA,NA,NA,NA,NA
7/29/2021,202102,29,162,NA,NA,NA,NA,NA,NA
7/29/2021,202102,29,162,NA,NA,NA,NA,NA,NA
7/29/2021,202102,32,162,NA,NA,NA,NA,NA,NA
7/29/2021,202102,32,162,NA,NA,NA,NA,NA,NA
7/30/2021,202102,34,162,NA,NA,NA,NA,NA,NA
7/30/2021,202102,34,162,NA,NA,NA,NA,NA,NA
7/30/2021,202102,36,162,NA,NA,NA,NA,NA,NA
7/30/2021,202102,36,162,NA,NA,NA,NA,NA,NA
